[Fri May 23 23:15:29 2025] REP socket em tcp://*:5552
[Fri May 23 23:15:29 2025] Conectado no broker REQ em tcp://localhost:5559
[Fri May 23 23:15:29 2025] Rank recebido: 3, Coordenador: False
[Fri May 23 23:15:29 2025] Conectando no PUB do Broker em tcp://localhost:5558
[Fri May 23 23:15:30 2025] Mensagem recebida: TIME_REQUEST
[Fri May 23 23:15:30 2025] Enviando tempo local 1748042129.5962126
[Fri May 23 23:15:30 2025] Status - Local: 1748042129.596, Lógico: 1, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:31 2025] Status - Local: 1748042129.596, Lógico: 2, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 3, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 4, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 5, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 6, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 7, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 8, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 9, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 10, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 11, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 12, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 13, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 14, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 15, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 16, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 17, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 18, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 19, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 20, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 21, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 22, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 23, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 24, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 25, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
