[Fri May 23 22:38:00 2025] REP socket em tcp://*:5560
[Fri May 23 22:38:00 2025] Conectado no broker REQ em tcp://localhost:5559
[Fri May 23 22:38:00 2025] Rank recebido: 1, Coordenador: True
[Fri May 23 22:38:00 2025] Conectando no PUB do Broker em tcp://localhost:5558
[Fri May 23 22:38:00 2025] Iniciando sincronização do coordenador
[Fri May 23 22:38:01 2025] Status - Local: 1748039880.586, Lógico: 1, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:02 2025] Status - Local: 1748039880.586, Lógico: 2, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:03 2025] Status - Local: 1748039880.586, Lógico: 3, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:04 2025] Status - Local: 1748039880.586, Lógico: 4, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:05 2025] Status - Local: 1748039880.586, Lógico: 5, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:06 2025] Status - Local: 1748039880.586, Lógico: 6, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:07 2025] Status - Local: 1748039880.586, Lógico: 7, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:08 2025] Status - Local: 1748039880.586, Lógico: 8, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:09 2025] Status - Local: 1748039880.586, Lógico: 9, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:10 2025] Nenhum servidor conhecido para sincronizar
[Fri May 23 22:38:10 2025] Status - Local: 1748039880.586, Lógico: 10, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:11 2025] Status - Local: 1748039880.586, Lógico: 11, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
[Fri May 23 22:38:12 2025] Status - Local: 1748039880.586, Lógico: 12, Coordenador rank: 1, É coordenador: True, Servers conhecidos: set()
